dataset,granularity,family,model,fold,method,ece,auc,n_test,n_students
algebra2005,question,classical,pfa_recency,1,platt,0.022698295766369187,0.741392838330295,93595,114
algebra2005,question,classical,pfa_recency,1,isotonic,0.01742381203563955,0.7412295484911652,93595,114
algebra2005,question,classical,pfa_recency,1,temperature,0.06604391266878284,0.741392838330295,93595,114
algebra2005,question,classical,pfa_recency,2,none,0.03676533641493106,0.7402407886222458,93595,114
algebra2005,question,classical,pfa_recency,2,platt,0.019417566989879415,0.7402407886222458,93595,114
algebra2005,question,classical,pfa_recency,2,isotonic,0.00521198563245547,0.7399013564486221,93595,114
algebra2005,question,classical,pfa_recency,2,temperature,0.058178086402038934,0.7402407886222458,93595,114
algebra2005,question,classical,pfa_recency,3,none,0.03702595758526504,0.7399167218441383,93595,114
algebra2005,question,classical,pfa_recency,3,platt,0.017817428256431088,0.7399167218441383,93595,114
algebra2005,question,classical,pfa_recency,3,isotonic,0.005395114252848775,0.7398404823259437,93595,114
algebra2005,question,classical,pfa_recency,3,temperature,0.055203661834752595,0.7399167218441383,93595,114
algebra2005,question,classical,pfa_recency,4,none,0.039285808882673585,0.7406623469981248,93595,114
algebra2005,question,classical,pfa_recency,4,platt,0.01856001788100607,0.7406623469981247,93595,114
algebra2005,question,classical,pfa_recency,4,isotonic,0.005632288918054403,0.7404796951796191,93595,114
algebra2005,question,classical,pfa_recency,4,temperature,0.05402058515009965,0.7406623469981247,93595,114
algebra2005,question,classical,elorasch,0,none,0.06304581549755381,0.7347568245566163,93595,114
algebra2005,question,classical,elorasch,0,platt,0.017468164271805198,0.7347568245566163,93595,114
algebra2005,question,classical,elorasch,0,isotonic,0.011887754420092355,0.7345900608019784,93595,114
algebra2005,question,classical,elorasch,0,temperature,0.0112363835379638,0.7347568245566163,93595,114
algebra2005,question,classical,elorasch,1,none,0.0639552729945456,0.7358159353996401,93595,114
algebra2005,question,classical,elorasch,1,platt,0.023675306599975104,0.7358159353996401,93595,114
algebra2005,question,classical,elorasch,1,isotonic,0.024033860947918394,0.7351204963275529,93595,114
algebra2005,question,classical,elorasch,1,temperature,0.015767758023648715,0.7358159353996401,93595,114
algebra2005,question,classical,elorasch,2,none,0.06046449357305395,0.7332601814024737,93595,114
algebra2005,question,classical,elorasch,2,platt,0.016295525170571402,0.7332601814024737,93595,114
algebra2005,question,classical,elorasch,2,isotonic,0.008473611934882372,0.7327189260840148,93595,114
algebra2005,question,classical,elorasch,2,temperature,0.011764524114058086,0.7332601814024737,93595,114
algebra2005,question,classical,elorasch,3,none,0.06188932369459448,0.7349201376461177,93595,114
algebra2005,question,classical,elorasch,3,platt,0.014896757570099657,0.7349201376461177,93595,114
algebra2005,question,classical,elorasch,3,isotonic,0.0075071695535258364,0.7345337201917388,93595,114
algebra2005,question,classical,elorasch,3,temperature,0.011760465409523389,0.7349201376461177,93595,114
algebra2005,question,classical,elorasch,4,none,0.060837661119567635,0.7342519914101298,93595,114
algebra2005,question,classical,elorasch,4,platt,0.012040520510080345,0.7342519914101298,93595,114
algebra2005,question,classical,elorasch,4,isotonic,0.008311232145012833,0.7337786088861777,93595,114
algebra2005,question,classical,elorasch,4,temperature,0.01126574826330858,0.7342519914101298,93595,114
assist2009,concept,deep,dkt,0,none,0.007414167955992682,0.8237927498629496,61904,770
assist2009,concept,deep,dkt,0,platt,0.010000022346996658,0.8237927498629496,61904,770
assist2009,concept,deep,dkt,0,isotonic,0.009417894153786532,0.8234894575238176,61904,770
assist2009,concept,deep,dkt,0,temperature,0.008120449276408958,0.8237927498629496,61904,770
assist2009,concept,deep,dkt,1,none,0.008644893486503342,0.8225361904583309,61904,770
assist2009,concept,deep,dkt,1,platt,0.012108076848617123,0.8225361904583309,61904,770
assist2009,concept,deep,dkt,1,isotonic,0.012392594600446994,0.8223715854476505,61904,770
assist2009,concept,deep,dkt,1,temperature,0.0064233160343548906,0.8225361904583309,61904,770
assist2009,concept,deep,dkt,2,none,0.010021374641505458,0.8246160787983464,61904,770
assist2009,concept,deep,dkt,2,platt,0.010717851716632774,0.8246160787983464,61904,770
assist2009,concept,deep,dkt,2,isotonic,0.011096229315564081,0.82439868886271,61904,770
assist2009,concept,deep,dkt,2,temperature,0.011998412641861958,0.8246160787983464,61904,770
assist2009,concept,deep,dkt,3,none,0.0070721255327803705,0.8246942109901673,61904,770
assist2009,concept,deep,dkt,3,platt,0.01074252809428395,0.8246942109901673,61904,770
assist2009,concept,deep,dkt,3,isotonic,0.011735547916745786,0.8246525418082689,61904,770
assist2009,concept,deep,dkt,3,temperature,0.0068087943636340985,0.8246942109901673,61904,770
assist2009,concept,deep,dkt,4,none,0.01264908009171397,0.8249524507015041,61904,770
assist2009,concept,deep,dkt,4,platt,0.008538833539253669,0.8249524507015041,61904,770
assist2009,concept,deep,dkt,4,isotonic,0.006738685897324672,0.8247610157967221,61904,770
assist2009,concept,deep,dkt,4,temperature,0.008339507645449174,0.8249524507015041,61904,770
assist2009,concept,deep,sakt,0,none,0.04015854801080865,0.7541104784755783,61904,770
assist2009,concept,deep,sakt,0,platt,0.012814247759951013,0.7541104784755783,61904,770
assist2009,concept,deep,sakt,0,isotonic,0.010047348576907584,0.7540179133037299,61904,770
assist2009,concept,deep,sakt,0,temperature,0.011277537832232424,0.7541104784755783,61904,770
assist2009,concept,deep,sakt,1,none,0.04249956474733232,0.7546422917723866,61904,770
assist2009,concept,deep,sakt,1,platt,0.01142508903273787,0.7546422917723866,61904,770
assist2009,concept,deep,sakt,1,isotonic,0.009272738106951261,0.7543903136146276,61904,770
assist2009,concept,deep,sakt,1,temperature,0.01264064646680113,0.7546422917723866,61904,770
assist2009,concept,deep,sakt,2,none,0.03825182835630443,0.7551955069631231,61904,770
assist2009,concept,deep,sakt,2,platt,0.01208777048152743,0.7551955069631231,61904,770
assist2009,concept,deep,sakt,2,isotonic,0.012917450556114088,0.75497748889152,61904,770
assist2009,concept,deep,sakt,2,temperature,0.012530093084826732,0.7551955069631231,61904,770
assist2009,concept,deep,sakt,3,none,0.04516834967189442,0.7537488934210729,61904,770
assist2009,concept,deep,sakt,3,platt,0.011542348444524387,0.7537488934210729,61904,770
assist2009,concept,deep,sakt,3,isotonic,0.009497674172773833,0.7537126726113251,61904,770
assist2009,concept,deep,sakt,3,temperature,0.01675310679883543,0.7537488934210729,61904,770
assist2009,concept,deep,sakt,4,none,0.033467823304739054,0.7528616802284221,61904,770
assist2009,concept,deep,sakt,4,platt,0.009484380869694616,0.7528616802284221,61904,770
assist2009,concept,deep,sakt,4,isotonic,0.009194434244967936,0.7524385174772035,61904,770
assist2009,concept,deep,sakt,4,temperature,0.006763850695865125,0.7528616802284221,61904,770
assist2009,concept,deep,akt,0,none,0.010144944341557658,0.831487264362757,61904,770
assist2009,concept,deep,akt,0,platt,0.008486001683560366,0.831487264362757,61904,770
