dataset,granularity,model,fold,method,ece,best_lambda,n_concepts,n_concepts_fitted,share_rows_with_own_curve,n_test
assist2009,concept,simplekt,4,difficulty_bucket,0.007439369875280233,inf,112,94,0.991276815714655,61904
assist2012,concept,dkt,0,none,0.00733443958922635,inf,259,208,0.9986289538824855,536087
assist2012,concept,dkt,0,isotonic,0.0018169537277189444,inf,259,208,0.9986289538824855,536087
assist2012,concept,dkt,0,concept_aware_lambda0,0.004540465515724165,inf,259,208,0.9986289538824855,536087
assist2012,concept,dkt,0,concept_aware_eb,0.0018169537277189444,inf,259,208,0.9986289538824855,536087
assist2012,concept,dkt,0,difficulty_bucket,0.0016415260657275887,inf,259,208,0.9986289538824855,536087
assist2012,concept,dkt,1,none,0.004062615311561589,100000.0,263,207,0.9985375508079846,536087
assist2012,concept,dkt,1,isotonic,0.0023389932651348903,100000.0,263,207,0.9985375508079846,536087
assist2012,concept,dkt,1,concept_aware_lambda0,0.006609177291892583,100000.0,263,207,0.9985375508079846,536087
assist2012,concept,dkt,1,concept_aware_eb,0.0022757434190874507,100000.0,263,207,0.9985375508079846,536087
assist2012,concept,dkt,1,difficulty_bucket,0.0023450299655504918,100000.0,263,207,0.9985375508079846,536087
assist2012,concept,dkt,2,none,0.003411174189277672,100000.0,261,208,0.9987072993749149,536087
assist2012,concept,dkt,2,isotonic,0.002054120191064706,100000.0,261,208,0.9987072993749149,536087
assist2012,concept,dkt,2,concept_aware_lambda0,0.006916100481625108,100000.0,261,208,0.9987072993749149,536087
assist2012,concept,dkt,2,concept_aware_eb,0.0020971111819781847,100000.0,261,208,0.9987072993749149,536087
assist2012,concept,dkt,2,difficulty_bucket,0.00206877554420687,100000.0,261,208,0.9987072993749149,536087
assist2012,concept,dkt,3,none,0.0027990982008084305,100000.0,257,205,0.9985319547013825,536087
assist2012,concept,dkt,3,isotonic,0.001920524369059373,100000.0,257,205,0.9985319547013825,536087
assist2012,concept,dkt,3,concept_aware_lambda0,0.006276117565665577,100000.0,257,205,0.9985319547013825,536087
assist2012,concept,dkt,3,concept_aware_eb,0.0020287140660146565,100000.0,257,205,0.9985319547013825,536087
assist2012,concept,dkt,3,difficulty_bucket,0.0019486382681690316,100000.0,257,205,0.9985319547013825,536087
assist2012,concept,dkt,4,none,0.010044976934628259,5000.0,261,209,0.9988304137201611,536087
assist2012,concept,dkt,4,isotonic,0.00203399187241756,5000.0,261,209,0.9988304137201611,536087
assist2012,concept,dkt,4,concept_aware_lambda0,0.006274823065029837,5000.0,261,209,0.9988304137201611,536087
assist2012,concept,dkt,4,concept_aware_eb,0.0022846569081072933,5000.0,261,209,0.9988304137201611,536087
assist2012,concept,dkt,4,difficulty_bucket,0.002034129287583449,5000.0,261,209,0.9988304137201611,536087
assist2012,concept,sakt,0,none,0.007014077722941315,inf,259,208,0.9986289538824855,536087
assist2012,concept,sakt,0,isotonic,0.0014683367936488725,inf,259,208,0.9986289538824855,536087
assist2012,concept,sakt,0,concept_aware_lambda0,0.005693655582655411,inf,259,208,0.9986289538824855,536087
assist2012,concept,sakt,0,concept_aware_eb,0.0014683367936488725,inf,259,208,0.9986289538824855,536087
assist2012,concept,sakt,0,difficulty_bucket,0.00139346109551619,inf,259,208,0.9986289538824855,536087
assist2012,concept,sakt,1,none,0.012012684953517152,inf,263,207,0.9985375508079846,536087
assist2012,concept,sakt,1,isotonic,0.0031506238816270266,inf,263,207,0.9985375508079846,536087
assist2012,concept,sakt,1,concept_aware_lambda0,0.007793601610101369,inf,263,207,0.9985375508079846,536087
assist2012,concept,sakt,1,concept_aware_eb,0.0031506238816270266,inf,263,207,0.9985375508079846,536087
assist2012,concept,sakt,1,difficulty_bucket,0.0031714355490839105,inf,263,207,0.9985375508079846,536087
assist2012,concept,sakt,2,none,0.00930167440183071,inf,261,208,0.9987072993749149,536087
assist2012,concept,sakt,2,isotonic,0.0036916854174147496,inf,261,208,0.9987072993749149,536087
assist2012,concept,sakt,2,concept_aware_lambda0,0.006981166541389303,inf,261,208,0.9987072993749149,536087
assist2012,concept,sakt,2,concept_aware_eb,0.0036916854174147496,inf,261,208,0.9987072993749149,536087
assist2012,concept,sakt,2,difficulty_bucket,0.0037205689823494414,inf,261,208,0.9987072993749149,536087
assist2012,concept,sakt,3,none,0.007886583676008288,inf,257,205,0.9985319547013825,536087
assist2012,concept,sakt,3,isotonic,0.003638854445136884,inf,257,205,0.9985319547013825,536087
assist2012,concept,sakt,3,concept_aware_lambda0,0.00789237468489745,inf,257,205,0.9985319547013825,536087
assist2012,concept,sakt,3,concept_aware_eb,0.003638854445136884,inf,257,205,0.9985319547013825,536087
assist2012,concept,sakt,3,difficulty_bucket,0.003743931728824343,inf,257,205,0.9985319547013825,536087
assist2012,concept,sakt,4,none,0.025628893930610058,5000.0,261,209,0.9988304137201611,536087
assist2012,concept,sakt,4,isotonic,0.0014704403236105886,5000.0,261,209,0.9988304137201611,536087
assist2012,concept,sakt,4,concept_aware_lambda0,0.006652235961239364,5000.0,261,209,0.9988304137201611,536087
assist2012,concept,sakt,4,concept_aware_eb,0.0021474195476096783,5000.0,261,209,0.9988304137201611,536087
assist2012,concept,sakt,4,difficulty_bucket,0.0014922472888260257,5000.0,261,209,0.9988304137201611,536087
assist2012,concept,akt,0,none,0.014982328060999452,5000.0,259,208,0.9986289538824855,536087
assist2012,concept,akt,0,isotonic,0.0018512119518181898,5000.0,259,208,0.9986289538824855,536087
assist2012,concept,akt,0,concept_aware_lambda0,0.003851249017249794,5000.0,259,208,0.9986289538824855,536087
assist2012,concept,akt,0,concept_aware_eb,0.0022196110430224686,5000.0,259,208,0.9986289538824855,536087
assist2012,concept,akt,0,difficulty_bucket,0.0016653401183393272,5000.0,259,208,0.9986289538824855,536087
assist2012,concept,akt,1,none,0.014893701045132421,inf,263,207,0.9985375508079846,536087
assist2012,concept,akt,1,isotonic,0.002768246083613658,inf,263,207,0.9985375508079846,536087
assist2012,concept,akt,1,concept_aware_lambda0,0.005773094861801916,inf,263,207,0.9985375508079846,536087
assist2012,concept,akt,1,concept_aware_eb,0.002768246083613658,inf,263,207,0.9985375508079846,536087
assist2012,concept,akt,1,difficulty_bucket,0.002368201053531874,inf,263,207,0.9985375508079846,536087
assist2012,concept,akt,2,none,0.014594792535657547,inf,261,208,0.9987072993749149,536087
assist2012,concept,akt,2,isotonic,0.0021251044481546567,inf,261,208,0.9987072993749149,536087
assist2012,concept,akt,2,concept_aware_lambda0,0.0051924000633204485,inf,261,208,0.9987072993749149,536087
assist2012,concept,akt,2,concept_aware_eb,0.0021251044481546567,inf,261,208,0.9987072993749149,536087
assist2012,concept,akt,2,difficulty_bucket,0.0022416493676294643,inf,261,208,0.9987072993749149,536087
assist2012,concept,akt,3,none,0.01399390726731168,100000.0,257,205,0.9985319547013825,536087
assist2012,concept,akt,3,isotonic,0.002196958685425233,100000.0,257,205,0.9985319547013825,536087
assist2012,concept,akt,3,concept_aware_lambda0,0.006289063590483786,100000.0,257,205,0.9985319547013825,536087
assist2012,concept,akt,3,concept_aware_eb,0.002538727755265539,100000.0,257,205,0.9985319547013825,536087
