dataset,granularity,family,model,fold,method,axis,quartile,ece,n_rows,n_students,ece_overall,selected_on_outcome
algebra2005,concept,deep,simplekt,0,platt,ability_prefix20,0,0.010825551950369066,59776,52,0.010932021187031906,False
algebra2005,concept,deep,simplekt,0,platt,ability_prefix20,1,0.013905118813001232,72619,61,0.010932021187031906,False
algebra2005,concept,deep,simplekt,0,isotonic,ability_prefix20,0,0.0038098148566474157,59776,52,0.005771422678176645,False
algebra2005,concept,deep,simplekt,0,isotonic,ability_prefix20,1,0.011854494209173347,72619,61,0.005771422678176645,False
algebra2005,concept,deep,simplekt,0,temperature,ability_prefix20,0,0.015472023844536886,59776,52,0.02017987514749013,False
algebra2005,concept,deep,simplekt,0,temperature,ability_prefix20,1,0.025346779375838176,72619,61,0.02017987514749013,False
algebra2005,concept,deep,simplekt,0,none,history,0,0.03060920131275609,18246,57,0.0237420020763714,False
algebra2005,concept,deep,simplekt,0,none,history,1,0.022655168084394023,115288,57,0.0237420020763714,False
algebra2005,concept,deep,simplekt,0,platt,history,0,0.015094268322457943,18246,57,0.010990064958171047,False
algebra2005,concept,deep,simplekt,0,platt,history,1,0.01042377845017731,115288,57,0.010990064958171047,False
algebra2005,concept,deep,simplekt,0,isotonic,history,0,0.010244762898400948,18246,57,0.005780575865207936,False
algebra2005,concept,deep,simplekt,0,isotonic,history,1,0.0055738029248200305,115288,57,0.005780575865207936,False
algebra2005,concept,deep,simplekt,0,temperature,history,0,0.027053331177194693,18246,57,0.02017968129877795,False
algebra2005,concept,deep,simplekt,0,temperature,history,1,0.01909182639903462,115288,57,0.02017968129877795,False
algebra2005,concept,deep,simplekt,0,none,rt,0,0.023186501589725027,76153,57,0.0237420020763714,False
algebra2005,concept,deep,simplekt,0,none,rt,1,0.02447923266767469,57381,57,0.0237420020763714,False
algebra2005,concept,deep,simplekt,0,platt,rt,0,0.01388195864604058,76153,57,0.010990064958171047,False
algebra2005,concept,deep,simplekt,0,platt,rt,1,0.0071630088695676915,57381,57,0.010990064958171047,False
algebra2005,concept,deep,simplekt,0,isotonic,rt,0,0.009372935353796914,76153,57,0.005780575865207936,False
algebra2005,concept,deep,simplekt,0,isotonic,rt,1,0.004122218404550401,57381,57,0.005780575865207936,False
algebra2005,concept,deep,simplekt,0,temperature,rt,0,0.022762178891039587,76153,57,0.02017968129877795,False
algebra2005,concept,deep,simplekt,0,temperature,rt,1,0.016752328357150882,57381,57,0.02017968129877795,False
algebra2005,question,deep,dkt,0,none,ability_prefix5,0,0.00919336755291546,34678,37,0.018085683355886267,False
algebra2005,question,deep,dkt,0,none,ability_prefix5,1,0.024801986238452957,57697,77,0.018085683355886267,False
algebra2005,question,deep,dkt,0,platt,ability_prefix5,0,0.008045984244720522,34678,37,0.008012941244533745,False
algebra2005,question,deep,dkt,0,platt,ability_prefix5,1,0.016169444185759045,57697,77,0.008012941244533745,False
algebra2005,question,deep,dkt,0,isotonic,ability_prefix5,0,0.007469552034139274,34678,37,0.00808117853025505,False
algebra2005,question,deep,dkt,0,isotonic,ability_prefix5,1,0.01621168447658188,57697,77,0.00808117853025505,False
algebra2005,question,deep,dkt,0,temperature,ability_prefix5,0,0.009838618526098866,34678,37,0.022406449940957994,False
