dataset,granularity,fold,contrast_type,model_a,method_a,family_a,model_b,method_b,family_b,ece_a,ece_b,delta_ece,ci_low,ci_high,p,n_students,pairing,family_key,p_holm,reject_holm,family_size
assist2017,concept,1,within_deep,sakt,isotonic,deep,simplekt,isotonic,deep,0.0031622774199812015,0.003924811663262659,-0.0007625342432814571,-0.003179316483069199,0.0021954042051943274,0.7115288471152885,341,paired,concept|f1|within_deep,1.0,False,7
assist2017,concept,2,within_deep,sakt,isotonic,deep,akt,isotonic,deep,0.003839658476414306,0.004938786011601032,-0.0010991275351867262,-0.0032331720650628157,0.0025420853521475337,0.6365363463653635,341,paired,concept|f2|within_deep,1.0,False,7
assist2017,concept,3,within_deep,dkt,isotonic,deep,sakt,isotonic,deep,0.0034239975599530594,0.003690997996583294,-0.00026700043663023445,-0.0030911367250511307,0.002372421290781583,0.8121187881211879,341,paired,concept|f3|within_deep,1.0,False,7
assist2017,concept,4,within_deep,simplekt,isotonic,deep,sakt,platt,deep,0.0024434476080915407,0.004285120774826231,-0.0018416731667346901,-0.003993531977083545,0.0012893518463244554,0.24137586241375864,341,paired,concept|f4|within_deep,1.0,False,7
assist2017,question,0,within_deep,simplekt,isotonic,deep,sakt,isotonic,deep,0.003402405035960566,0.0037562350960000167,-0.0003538300600394507,-0.003716785041263264,0.00255310552266736,0.793920607939206,341,paired,question|f0|within_deep,1.0,False,6
assist2017,question,0,cross_family,pfa_recency,isotonic,classical,simplekt,isotonic,deep,0.003381844216231654,0.003402405035960566,-2.0560819728912116e-05,-0.002855462469316365,0.006272229961128214,0.8289171082891711,341,unpaired_shared_students,question|f0|cross_family,1.0,False,6
assist2017,question,1,within_deep,sakt,isotonic,deep,simplekt,isotonic,deep,0.003147690235627464,0.003908353268306056,-0.000760663032678592,-0.0031846409292902245,0.0021842351770141252,0.7079292070792921,341,paired,question|f1|within_deep,1.0,False,6
assist2017,question,1,cross_family,sakt,isotonic,deep,pfa_recency,isotonic,classical,0.003147690235627464,0.00402151750080814,-0.0008738272651806762,-0.004982324949968223,0.0025008471824138068,0.6637336266373363,341,unpaired_shared_students,question|f1|cross_family,1.0,False,6
assist2017,question,2,within_deep,sakt,isotonic,deep,akt,isotonic,deep,0.0038339590599225292,0.0048001951187914005,-0.0009662360588688712,-0.0031305826825028414,0.0025721954260317986,0.6727327267273273,341,paired,question|f2|within_deep,1.0,False,6
assist2017,question,2,cross_family,sakt,isotonic,deep,pfa_recency,isotonic,classical,0.0038339590599225292,0.0046563078431081616,-0.0008223487831856323,-0.0049437612976719406,0.002243850400091265,0.5953404659534046,341,unpaired_shared_students,question|f2|cross_family,1.0,False,6
assist2017,question,3,within_deep,dkt,isotonic,deep,akt,platt,deep,0.0034324974075649085,0.003784090830760982,-0.00035159342319607354,-0.0031856190811431844,0.0034659463681320315,0.9275072492750724,341,paired,question|f3|within_deep,1.0,False,6
assist2017,question,3,cross_family,dkt,isotonic,deep,elorasch,isotonic,classical,0.0034324974075649085,0.006149792937502245,-0.002717295529937337,-0.006450839213550444,0.001515670657353899,0.22397760223977603,341,unpaired_shared_students,question|f3|cross_family,1.0,False,6
assist2017,question,4,within_deep,simplekt,isotonic,deep,sakt,platt,deep,0.002449257625436484,0.0043268601453398435,-0.0018776025199033594,-0.004003304481679405,0.0012641759083568255,0.23837616238376164,341,paired,question|f4|within_deep,1.0,False,6
assist2017,question,4,cross_family,simplekt,isotonic,deep,pfa_recency,isotonic,classical,0.002449257625436484,0.0026131227919506503,-0.0001638651665141662,-0.0057199244917370785,0.002323698653875651,0.6955304469553044,341,unpaired_shared_students,question|f4|cross_family,1.0,False,6
bridge2algebra2006,concept,0,within_deep,sakt,isotonic,deep,simplekt,isotonic,deep,0.001953266337780984,0.00196616116063288,-1.2894822851895835e-05,-0.0015744825474215667,0.0016129998602376757,0.9707029297070293,229,paired,concept|f0|within_deep,1.0,False,7
bridge2algebra2006,concept,1,within_deep,dkt,platt,deep,akt,isotonic,deep,0.001980628872831911,0.0022825143252820797,-0.0003018854524501689,-0.0016433700127487603,0.0011167162496916775,0.6947305269473053,229,paired,concept|f1|within_deep,1.0,False,7
bridge2algebra2006,concept,2,within_deep,simplekt,isotonic,deep,akt,isotonic,deep,0.002538118405439769,0.0026921142614853484,-0.00015399585604557956,-0.0012897142958307078,0.0011978835768047527,0.8915108489151085,229,paired,concept|f2|within_deep,1.0,False,7
bridge2algebra2006,concept,3,within_deep,akt,isotonic,deep,sakt,platt,deep,0.003962007178189468,0.004167771023618963,-0.00020576384542949494,-0.001436280609685057,0.0012247093659878724,0.8977102289771023,229,paired,concept|f3|within_deep,1.0,False,7
bridge2algebra2006,concept,4,within_deep,akt,isotonic,deep,dkt,platt,deep,0.002321151876079313,0.002348876277049416,-2.772440097010328e-05,-0.0015893231785498612,0.001452708172552022,0.8619138086191381,229,paired,concept|f4|within_deep,1.0,False,7
bridge2algebra2006,question,0,within_deep,simplekt,isotonic,deep,sakt,isotonic,deep,0.0019530895241924359,0.0019694806679368994,-1.639114374446353e-05,-0.0016221780490182523,0.0015591612916171771,0.9885011498850115,229,paired,question|f0|within_deep,1.0,False,6
bridge2algebra2006,question,0,cross_family,elorasch,isotonic,classical,simplekt,isotonic,deep,0.001884665163098247,0.0019530895241924359,-6.842436109418893e-05,-0.002866692651127034,0.004290674990732616,0.6603339666033397,229,unpaired_shared_students,question|f0|cross_family,1.0,False,6
bridge2algebra2006,question,1,within_deep,dkt,platt,deep,sakt,isotonic,deep,0.0019216631988144281,0.002237033489576136,-0.0003153702907617078,-0.0017211685637207928,0.0008487680101861219,0.48695130486951305,229,paired,question|f1|within_deep,1.0,False,6
bridge2algebra2006,question,1,cross_family,dkt,platt,deep,bkt,isotonic,classical,0.0019216631988144281,0.003150286514654936,-0.0012286233158405077,-0.0038699246866851014,-6.178953871408499e-05,0.0403959604039596,229,unpaired_shared_students,question|f1|cross_family,0.201979802019798,False,6
