dataset,model,fold,method,ece,auc,brier,n_test
assist2017,simplekt,0,isotonic,0.003529,0.754906,0.188769,177767
assist2017,simplekt,0,temperature,0.024124,0.754975,0.189429,177767
assist2017,simplekt,1,none,0.020957,0.756517,0.188735,177767
assist2017,simplekt,1,platt,0.007943,0.756517,0.188252,177767
assist2017,simplekt,1,isotonic,0.003925,0.756465,0.188214,177767
assist2017,simplekt,1,temperature,0.009239,0.756517,0.188291,177767
assist2017,simplekt,2,none,0.01964,0.754668,0.189274,177767
assist2017,simplekt,2,platt,0.008132,0.754668,0.188928,177767
assist2017,simplekt,2,isotonic,0.006651,0.754532,0.188972,177767
assist2017,simplekt,2,temperature,0.007038,0.754668,0.189003,177767
assist2017,simplekt,3,none,0.016694,0.751014,0.190489,177767
assist2017,simplekt,3,platt,0.006174,0.751014,0.190166,177767
assist2017,simplekt,3,isotonic,0.003901,0.750943,0.190175,177767
assist2017,simplekt,3,temperature,0.016481,0.751014,0.190468,177767
assist2017,simplekt,4,none,0.030205,0.757588,0.188883,177767
assist2017,simplekt,4,platt,0.010601,0.757588,0.187957,177767
assist2017,simplekt,4,isotonic,0.002443,0.757478,0.187843,177767
assist2017,simplekt,4,temperature,0.030272,0.757588,0.188948,177767
bridge2algebra2006,akt,0,none,0.006052,0.806981,0.107422,353631
bridge2algebra2006,akt,0,platt,0.00231,0.806981,0.107401,353631
bridge2algebra2006,akt,0,isotonic,0.002191,0.806904,0.107411,353631
bridge2algebra2006,akt,0,temperature,0.003246,0.806981,0.107412,353631
bridge2algebra2006,akt,1,none,0.006429,0.807108,0.107421,353631
bridge2algebra2006,akt,1,platt,0.002526,0.807108,0.107399,353631
bridge2algebra2006,akt,1,isotonic,0.002283,0.807,0.107433,353631
bridge2algebra2006,akt,1,temperature,0.002611,0.807108,0.1074,353631
bridge2algebra2006,akt,2,none,0.007233,0.807853,0.107228,353631
bridge2algebra2006,akt,2,platt,0.003267,0.807853,0.107196,353631
bridge2algebra2006,akt,2,isotonic,0.002692,0.807725,0.107207,353631
bridge2algebra2006,akt,2,temperature,0.004266,0.807853,0.107216,353631
bridge2algebra2006,akt,3,none,0.006271,0.806142,0.107615,353631
bridge2algebra2006,akt,3,platt,0.00435,0.806142,0.107565,353631
bridge2algebra2006,akt,3,isotonic,0.003962,0.806013,0.107585,353631
bridge2algebra2006,akt,3,temperature,0.006555,0.806142,0.107637,353631
bridge2algebra2006,akt,4,none,0.00895,0.806228,0.107816,353631
bridge2algebra2006,akt,4,platt,0.00256,0.806228,0.10763,353631
bridge2algebra2006,akt,4,isotonic,0.002321,0.806106,0.107648,353631
bridge2algebra2006,akt,4,temperature,0.008251,0.806228,0.107828,353631
bridge2algebra2006,dkt,0,none,0.006762,0.797664,0.108271,353631
bridge2algebra2006,dkt,0,platt,0.00286,0.797664,0.10822,353631
