dataset,granularity,family,model,fold,method,ece_equal_width,ece_equal_mass,best_equal_width,best_equal_mass
algebra2005,question,classical,elorasch,3,platt,0.014896757570099657,0.015395801252365516,isotonic,isotonic
algebra2005,question,classical,elorasch,3,isotonic,0.0075071695535258364,0.007560357729802268,isotonic,isotonic
algebra2005,question,classical,elorasch,3,temperature,0.011760465409523389,0.01194467535973969,isotonic,isotonic
algebra2005,question,classical,elorasch,4,none,0.060837661119567635,0.061092867250188185,isotonic,isotonic
algebra2005,question,classical,elorasch,4,platt,0.012040520510080345,0.011987950169786675,isotonic,isotonic
algebra2005,question,classical,elorasch,4,isotonic,0.008311232145012833,0.007791432519994668,isotonic,isotonic
algebra2005,question,classical,elorasch,4,temperature,0.01126574826330858,0.011643325080450394,isotonic,isotonic
assist2009,concept,deep,dkt,0,none,0.007414167955992682,0.00789871165083305,none,temperature
assist2009,concept,deep,dkt,0,platt,0.010000022346996658,0.00968894577788177,none,temperature
assist2009,concept,deep,dkt,0,isotonic,0.009417894153786532,0.010031245141951884,none,temperature
assist2009,concept,deep,dkt,0,temperature,0.008120449276408958,0.007737458834409485,none,temperature
assist2009,concept,deep,dkt,1,none,0.008644893486503342,0.00840257628374597,temperature,temperature
assist2009,concept,deep,dkt,1,platt,0.012108076848617123,0.01291755706496389,temperature,temperature
assist2009,concept,deep,dkt,1,isotonic,0.012392594600446994,0.012400693155218277,temperature,temperature
assist2009,concept,deep,dkt,1,temperature,0.0064233160343548906,0.0073627059652813225,temperature,temperature
assist2009,concept,deep,dkt,2,none,0.010021374641505458,0.01098000688890228,none,none
assist2009,concept,deep,dkt,2,platt,0.010717851716632774,0.011359421184978513,none,none
assist2009,concept,deep,dkt,2,isotonic,0.011096229315564081,0.01127778888851097,none,none
assist2009,concept,deep,dkt,2,temperature,0.011998412641861958,0.012719746078151045,none,none
assist2009,concept,deep,dkt,3,none,0.0070721255327803705,0.007760002963716456,temperature,temperature
assist2009,concept,deep,dkt,3,platt,0.01074252809428395,0.011413766887445283,temperature,temperature
assist2009,concept,deep,dkt,3,isotonic,0.011735547916745786,0.011722404714788469,temperature,temperature
assist2009,concept,deep,dkt,3,temperature,0.0068087943636340985,0.007735730204079984,temperature,temperature
assist2009,concept,deep,dkt,4,none,0.01264908009171397,0.011093485116689675,isotonic,isotonic
assist2009,concept,deep,dkt,4,platt,0.008538833539253669,0.00817781792490642,isotonic,isotonic
assist2009,concept,deep,dkt,4,isotonic,0.006738685897324672,0.005217002757710511,isotonic,isotonic
assist2009,concept,deep,dkt,4,temperature,0.008339507645449174,0.00839172713727683,isotonic,isotonic
assist2009,concept,deep,sakt,0,none,0.04015854801080865,0.04062687297792829,isotonic,isotonic
assist2009,concept,deep,sakt,0,platt,0.012814247759951013,0.011885130614459807,isotonic,isotonic
