dataset,model,fold,method,ece,auc,brier,n_test,n_valid,pipeline
assist2017,dkt,2,isotonic,0.005027,0.712928,0.20216,177767,145879,leakfree_pykt_v4
assist2017,dkt,2,temperature,0.011334,0.713119,0.202188,177767,145879,leakfree_pykt_v4
assist2017,dkt,3,none,0.015397,0.716585,0.201484,177767,168980,leakfree_pykt_v4
assist2017,dkt,3,platt,0.004807,0.716585,0.201218,177767,168980,leakfree_pykt_v4
assist2017,dkt,3,isotonic,0.003432,0.716546,0.201271,177767,168980,leakfree_pykt_v4
assist2017,dkt,3,temperature,0.0155,0.716585,0.201485,177767,168980,leakfree_pykt_v4
assist2017,dkt,4,none,0.023158,0.713289,0.202745,177767,149617,leakfree_pykt_v4
assist2017,dkt,4,platt,0.004554,0.713289,0.202066,177767,149617,leakfree_pykt_v4
assist2017,dkt,4,isotonic,0.005667,0.713191,0.202107,177767,149617,leakfree_pykt_v4
assist2017,dkt,4,temperature,0.025488,0.713289,0.202778,177767,149617,leakfree_pykt_v4
assist2017,sakt,0,none,0.010698,0.653685,0.21583,177767,153067,leakfree_pykt_v4
assist2017,sakt,0,platt,0.005229,0.653685,0.215706,177767,153067,leakfree_pykt_v4
assist2017,sakt,0,isotonic,0.003756,0.653465,0.21574,177767,153067,leakfree_pykt_v4
assist2017,sakt,0,temperature,0.009846,0.653685,0.215809,177767,153067,leakfree_pykt_v4
assist2017,sakt,1,none,0.011084,0.653277,0.215953,177767,141938,leakfree_pykt_v4
assist2017,sakt,1,platt,0.005045,0.653277,0.215796,177767,141938,leakfree_pykt_v4
assist2017,sakt,1,isotonic,0.003148,0.653129,0.215836,177767,141938,leakfree_pykt_v4
assist2017,sakt,1,temperature,0.009482,0.653277,0.215874,177767,141938,leakfree_pykt_v4
assist2017,sakt,2,none,0.012609,0.653932,0.215958,177767,145879,leakfree_pykt_v4
assist2017,sakt,2,platt,0.004781,0.653932,0.215701,177767,145879,leakfree_pykt_v4
