dataset,granularity,family,model,fold,method,axis,q_low,q_high,ece_low,ece_high,ece_overall,ratio_low_over_high,ratio_low_over_overall,delta_ece,ci_low,ci_high,p,equalized_ce,n_students_low,n_students_high,n_eval_rows,selected_on_outcome,family_key,p_holm,reject_holm,family_size
ednet,concept,deep,dkt,4,isotonic,rt,0,3,0.012684669591900606,0.007751325733181137,0.004136288915579817,1.6364516249912295,3.0666788154285625,0.0049333438587194686,-0.0057836598086409285,0.011871434775515746,0.44075592440755923,0.008548380676320789,143,130,292426,False,concept|rt|isotonic|f4,1.0,False,20
ednet,concept,deep,dkt,4,temperature,rt,0,3,0.010719286074358654,0.01716939807665129,0.01214619294905402,0.6243250943628502,0.8825222947897846,-0.006450112002292634,-0.013363453030082325,0.000931023394922388,0.097990200979902,0.005023205127597269,143,130,292426,False,concept|rt|temperature|f4,1.0,False,20
ednet,concept,deep,sakt,4,none,ability_prefix5,0,3,0.028158496113559785,0.013078250762449442,0.013431726940255571,2.1530781619824166,2.096416658766888,0.015080245351110343,0.0001456876289596038,0.020193553515078722,0.04739526047395261,0.014726769173304214,104,188,296356,False,concept|ability_prefix5|none|f4,0.8057194280571943,False,28
ednet,concept,deep,sakt,4,platt,ability_prefix5,0,3,0.02475577966873605,0.009126421744647199,0.005220292961955395,2.712539521116886,4.742220379038486,0.01562935792408885,-0.0007382343193667451,0.023861399635065655,0.0603939606039396,0.019535486706780656,104,188,296356,False,concept|ability_prefix5|platt|f4,1.0,False,28
ednet,concept,deep,sakt,4,isotonic,ability_prefix5,0,3,0.025223394961741336,0.009892864923627408,0.0018191954107123355,2.5496552471367107,13.865137748926436,0.015330530038113927,-0.0008100618177023568,0.02548543116877604,0.063993600639936,0.023404199551029,104,188,296356,False,concept|ability_prefix5|isotonic|f4,1.0,False,28
ednet,concept,deep,sakt,4,temperature,ability_prefix5,0,3,0.02085584955726945,0.016423106269247843,0.01095615220552501,1.2699089450770886,1.903574281010096,0.004432743288021606,-0.008977698014579873,0.012356755523385218,0.5381461853814619,0.009899697351744438,104,188,296356,False,concept|ability_prefix5|temperature|f4,1.0,False,28
ednet,concept,deep,sakt,4,none,ability_prefix10,0,3,0.014553317223670478,0.014320349860980968,0.013667643294641383,1.016268273118402,1.0648007787396923,0.00023296736268950922,-0.003583356343105312,0.0066433441526324265,0.6339366063393661,0.0011130073363158632,132,207,292426,False,concept|ability_prefix10|none|f4,1.0,False,28
ednet,concept,deep,sakt,4,platt,ability_prefix10,0,3,0.007933915490365782,0.0068931382723770645,0.0056139820137350435,1.150987427912107,1.4132420572340347,0.001040777217988718,-0.0037675591529298296,0.006672336038349111,0.7043295670432956,0.002319933476630739,132,207,292426,False,concept|ability_prefix10|platt|f4,1.0,False,28
ednet,concept,deep,sakt,4,isotonic,ability_prefix10,0,3,0.003998187743201257,0.005632874164312721,0.002330708586281158,0.7097953241227934,1.715438715391143,-0.001634686421111464,-0.006582491950082298,0.007206686588559353,0.9703029697030296,0.003302165578031563,132,207,292426,False,concept|ability_prefix10|isotonic|f4,1.0,False,28
ednet,concept,deep,sakt,4,temperature,ability_prefix10,0,3,0.012111427054634789,0.01367542358136519,0.01128356815147996,0.8856345094230514,1.073368538395033,-0.0015639965267304004,-0.006698833610062334,0.0031700768303008406,0.5331466853314668,0.00239185542988523,132,207,292426,False,concept|ability_prefix10|temperature|f4,1.0,False,28
