dataset,granularity,family,model,fold,contrast,method_a,method_b,ece_a,ece_b,delta_ece,ci_low,ci_high,p,n_students,n_test,family_key,p_holm,reject_holm,family_size
algebra2005,concept,deep,akt,0,best_vs_runnerup,none,temperature,0.0039346539124985565,0.004798381793134602,-0.0008637278806360458,-0.002992619939771212,0.0026663831173426326,0.6507349265073493,114,134674,concept|f0|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,akt,1,iso_vs_none,isotonic,none,0.007085577667196234,0.0041560290620888595,0.0029295486051073745,-0.006331988679288216,0.006698402299635029,0.5515448455154485,114,134674,concept|f1|iso_vs_none,1.0,False,28
algebra2005,concept,deep,akt,1,best_vs_runnerup,none,temperature,0.0041560290620888595,0.004709911125188599,-0.0005538820630997393,-0.002462845567879913,0.003686149836545461,0.8189181081891811,114,134674,concept|f1|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,akt,2,iso_vs_none,isotonic,none,0.004412116345873562,0.007056007288520676,-0.0026438909426471134,-0.010176716033864499,0.00698485390760733,0.7055294470552945,114,134674,concept|f2|iso_vs_none,1.0,False,28
algebra2005,concept,deep,akt,2,best_vs_runnerup,isotonic,platt,0.004412116345873562,0.005327462094509477,-0.0009153457486359151,-0.0013197904840513987,0.0005081270801916706,0.26717328267173285,114,134674,concept|f2|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,akt,3,iso_vs_none,isotonic,none,0.0022850928275744576,0.013500967556552739,-0.011215874728978281,-0.012221916517950638,-0.0024351985149486275,0.0115988401159884,114,134674,concept|f3|iso_vs_none,0.115988401159884,False,28
algebra2005,concept,deep,akt,3,best_vs_runnerup,isotonic,platt,0.0022850928275744576,0.003730592820119516,-0.0014454999925450586,-0.0019658855444476685,0.0005340837119057375,0.3083691630836916,114,134674,concept|f3|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,akt,4,iso_vs_none,isotonic,none,0.0028353143054432304,0.0051571082464536774,-0.002321793941010447,-0.003784339811724765,0.00097678370511476,0.19818018198180182,114,134674,concept|f4|iso_vs_none,0.7927207279272073,False,28
algebra2005,concept,deep,akt,4,best_vs_runnerup,isotonic,temperature,0.0028353143054432304,0.0036934377340272725,-0.0008581234285840421,-0.0024611932833688275,0.0014734877352789424,0.6251374862513749,114,134674,concept|f4|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,simplekt,0,iso_vs_none,isotonic,none,0.006008015465649171,0.02371641297142935,-0.01770839750578018,-0.021566867422771658,-0.011958188102804915,0.00019998000199980003,114,134674,concept|f0|iso_vs_none,0.005599440055994401,True,28
algebra2005,concept,deep,simplekt,0,best_vs_runnerup,isotonic,platt,0.006008015465649171,0.011123575694071805,-0.005115560228422634,-0.007683208158657522,-0.0018481447492268036,0.00019998000199980003,114,134674,concept|f0|best_vs_runnerup,0.005599440055994401,True,28
algebra2005,concept,deep,simplekt,1,iso_vs_none,isotonic,none,0.0077866608415152186,0.013873042681580124,-0.006086381840064906,-0.016804657726243913,0.004660191612739011,0.3127687231276872,114,134674,concept|f1|iso_vs_none,1.0,False,28
algebra2005,concept,deep,simplekt,1,best_vs_runnerup,temperature,isotonic,0.00396058816085492,0.0077866608415152186,-0.0038260726806602988,-0.006642423134856958,0.004822995238082045,0.398960103989601,114,134674,concept|f1|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,simplekt,2,iso_vs_none,isotonic,none,0.004149508176719987,0.029991370775586768,-0.025841862598866783,-0.0313731147278234,-0.015319734992370469,0.00019998000199980003,114,134674,concept|f2|iso_vs_none,0.005599440055994401,True,28
algebra2005,concept,deep,simplekt,2,best_vs_runnerup,isotonic,temperature,0.004149508176719987,0.0073318608970205125,-0.0031823527203005252,-0.008042042308651744,0.002314004916704676,0.28997100289971,114,134674,concept|f2|best_vs_runnerup,1.0,False,28
algebra2005,concept,deep,simplekt,3,iso_vs_none,isotonic,none,0.003212284394119809,0.0292607678053685,-0.026048483411248692,-0.027183202874408476,-0.020403032604989275,0.00019998000199980003,114,134674,concept|f3|iso_vs_none,0.005599440055994401,True,28
algebra2005,concept,deep,simplekt,3,best_vs_runnerup,isotonic,temperature,0.003212284394119809,0.005242578929070043,-0.0020302945349502336,-0.003463612896979633,-0.0008569943167495121,0.0017998200179982,114,134674,concept|f3|best_vs_runnerup,0.046795320467953205,True,28
